"","borocd","report_month","n_reports_311","n_repairs_dot","total_population","median_age","median_household_income","pct_renters","rental_vacancy_rate","pct_with_college_degree","pct_foreign_born","road_miles"
"740",307,2024-07-31 20:00:00,35,19,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"741",307,2024-08-31 20:00:00,37,17,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"742",307,2024-09-30 20:00:00,35,14,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"743",307,2024-10-31 20:00:00,51,19,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"744",307,2024-11-30 19:00:00,58,23,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"745",308,2022-12-31 19:00:00,17,6,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"746",308,2023-01-31 19:00:00,24,15,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"747",308,2023-02-28 19:00:00,55,24,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"748",308,2023-03-31 20:00:00,9,8,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"749",308,2023-04-30 20:00:00,7,6,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"750",308,2023-05-31 20:00:00,15,5,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"751",308,2023-06-30 20:00:00,14,6,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"752",308,2023-07-31 20:00:00,26,12,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"753",308,2023-08-31 20:00:00,9,3,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"754",308,2023-09-30 20:00:00,36,12,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"755",308,2023-10-31 20:00:00,21,9,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"756",308,2023-11-30 19:00:00,10,4,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"757",308,2023-12-31 19:00:00,19,10,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"758",308,2024-01-31 19:00:00,12,10,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"759",308,2024-02-29 19:00:00,35,13,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"760",308,2024-03-31 20:00:00,14,4,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"761",308,2024-04-30 20:00:00,21,7,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"762",308,2024-05-31 20:00:00,29,15,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"763",308,2024-06-30 20:00:00,19,9,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"764",308,2024-07-31 20:00:00,26,6,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"765",308,2024-08-31 20:00:00,9,3,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
"766",308,2024-09-30 20:00:00,9,2,109719,35.5,90978,79.5,2.59999990463257,52.7999992370605,26,43.4723136631731
